# surface_pressure: 95484.3125
# surface_elevation: 495.3943545513991
# units: Pa, Pa, m, K, kg/kg, ppm, ppb
# comment: all profile quantities are at mid-layer, pressure-thickness reveals the thickness of each layer
pressure,pressure_thickness,altitude,temperature,specific_humidity,co2,ch4
1.5000001,1.0000001,76466.82,183.6299,3.451502e-06,404.39507535969216,160.00728846414
2.6350021,1.27,73253.055,187.74164,3.6653994e-06,404.41437907672173,161.8048179094672
4.0142527,1.4885004,70832.67,194.78857,3.6910271e-06,404.4401951056595,168.07881292565085
5.6792526,1.8415004,68782.97,204.73312,3.6995832e-06,404.50030464368564,179.61295728021176
7.7672505,2.3344986,66851.48,214.61203,3.7385064e-06,404.59775761701167,192.92672475975385
10.45241,3.035801,64947.195,222.61699,3.8242906e-06,404.7175064915791,205.74430895308183
13.959908,3.9792027,63027.457,230.14891,3.9342685e-06,404.8448145234336,218.60482247613405
18.54221,5.1853995,61089.207,235.81401,4.046888e-06,404.98125937301666,233.32913553830548
24.493757,6.7177043,59147.05,240.28596,4.1406397e-06,405.07929659603786,241.4924276516991
32.17835,8.651502,57203.223,245.82556,4.2121796e-06,405.13509151060134,243.06547979589925
42.04237,11.076506,55253.203,251.85757,4.260418e-06,405.24142289844656,252.45852393603187
54.629265,14.097302,53295.77,258.19882,4.29236e-06,405.3393198021998,261.6012300499154
70.59565,17.835505,51332.12,264.43387,4.30493e-06,405.45729089838767,275.8046969631738
90.72871,22.430603,49371.812,268.71042,4.2975457e-06,405.5546244683986,291.1556619031894
115.997505,28.107,47430.74,270.4422,4.2746215e-06,405.58464157705504,301.7222441154893
147.56502,35.028015,45530.746,268.20218,4.2335655e-06,405.48267359069234,296.24079068017454
186.78796,43.418015,43688.406,265.157,4.1733006e-06,405.3841738495976,297.59948243848294
235.25906,53.524036,41908.207,261.36142,4.095643e-06,405.37980617955327,320.48055323944374
294.83206,65.62201,40194.684,256.63528,3.9993324e-06,405.40946387530613,358.1083465211031
367.6501,80.01404,38549.605,251.91551,3.9045776e-06,405.44386227459955,405.1214281774608
456.16873,97.02301,36969.652,247.8202,3.8208022e-06,405.5597352174421,464.6086974971836
563.1802,117.0,35453.22,243.17484,3.759805e-06,405.7407746246705,544.7414610089714
691.8321,140.30408,33998.312,239.34636,3.721136e-06,405.9564219011615,636.6175437561386
845.6388,167.31,32601.135,235.55057,3.6452439e-06,406.1571143101901,718.161719101535
1028.4923,198.39604,31258.262,232.54117,3.5553703e-06,406.36315712860477,805.4802947814953
1246.0154,236.65,29958.352,230.03415,3.4492348e-06,406.55492017200834,896.7219345840717
1505.0254,281.3701,28692.006,227.75113,3.357375e-06,406.71004789570964,977.2938507719646
1812.4348,333.45013,27457.885,225.57834,3.2801545e-06,406.8518706286947,1042.2325414709314
2176.1008,393.88,26255.879,223.19566,3.20744e-06,407.0933120868479,1116.1609238997585
2604.9094,463.74002,25084.348,221.49643,3.150876e-06,407.3763466440141,1183.0095316532868
3108.8892,544.2201,23940.889,219.89342,3.0914014e-06,407.75680142299586,1245.0027002655297
3699.2717,636.54016,22824.94,218.30411,3.0252093e-06,408.713913600271,1350.1764413401158
4390.967,746.84985,21732.588,216.88875,2.955665e-06,409.8117769851039,1454.8456148901187
5201.5938,874.4,20659.885,215.51627,2.870318e-06,410.2941293191786,1495.3268931598736
6149.5645,1021.5506,19607.617,213.71227,2.7631663e-06,412.1043421716119,1622.450247447631
