# surface_pressure: 95865.15625
# surface_elevation: 495.3943545513991
# units: Pa, Pa, m, K, kg/kg, ppm, ppb
# comment: all profile quantities are at mid-layer, pressure-thickness reveals the thickness of each layer
pressure,pressure_thickness,altitude,temperature,specific_humidity,co2,ch4
1.5000001,1.0000001,74628.94,214.23558,1.4602113e-06,405.5154267998953,193.13282878404377
2.6350021,1.27,70907.39,215.16324,1.8673865e-06,405.5360614156891,193.64666678640359
4.014253,1.4885004,68194.67,212.0967,2.028672e-06,405.55383240233266,195.66045993021334
5.6792526,1.8415005,66024.984,209.94614,2.1683197e-06,405.58780427090824,197.80182538778163
7.7672505,2.3344986,64073.85,213.41324,2.3992973e-06,405.6417565762756,200.5384742779207
10.45241,3.035801,62182.203,220.9078,2.6871446e-06,405.71288269523893,204.23198631089693
13.959908,3.979203,60277.098,228.4035,2.9754622e-06,405.79258535628117,208.87007550027334
18.54221,5.1853995,58362.62,231.8239,3.2384683e-06,405.8817022990796,213.83182952757224
24.493757,6.7177043,56465.227,233.27782,3.4664295e-06,405.9459290076648,216.89963172229415
32.17835,8.651501,54586.99,236.40807,3.6310926e-06,405.9894175283731,219.49478426675276
42.042374,11.076506,52718.164,240.53769,3.7794923e-06,406.040312391856,222.2772848879215
54.629265,14.097302,50853.37,245.36357,3.888232e-06,406.08626831653373,224.23228866331496
70.59566,17.835505,48994.945,249.24203,3.961493e-06,406.1089902966013,224.4850404640849
90.72871,22.430603,47163.695,248.75304,4.008489e-06,406.1254285155766,224.27886179108842
115.997505,28.107,45383.77,245.59254,4.03883e-06,406.1451400329749,226.4125674223294
147.56502,35.028015,43666.97,241.0904,4.051087e-06,406.1718039484995,233.59849299611398
186.78796,43.418015,42013.527,237.57692,4.0568357e-06,406.1965956803291,249.092725611433
235.25906,53.524036,40417.164,234.57019,4.0487807e-06,406.2977970968331,288.7743738258861
294.83206,65.62201,38877.332,230.92789,4.0179066e-06,406.5474144168078,381.8597960765731
367.6501,80.01404,37394.934,227.33928,3.9677398e-06,407.12114089288775,564.0787938391408
456.16873,97.02301,35966.21,224.5724,3.8394087e-06,408.02199524947474,811.1626476815154
563.1802,117.0,34585.754,222.42513,3.6973922e-06,408.8573037241135,1011.8922686027645
691.8321,140.30406,33247.965,221.28035,3.6089004e-06,409.3007067398679,1120.0528729284713
845.6388,167.31,31948.984,220.27214,3.5435655e-06,409.3069544497637,1150.1666263960553
1028.4923,198.39604,30687.145,219.59982,3.4814736e-06,409.0545268263668,1140.1289231521368
1246.0153,236.65001,29454.932,218.8999,3.4048437e-06,408.7741538551786,1130.7582868809636
1505.0254,281.3701,28245.67,218.26213,3.3276951e-06,408.56740422426697,1133.9578263663968
1812.4348,333.45013,27058.408,217.86792,3.2533e-06,408.4487465180216,1151.6901044742544
2176.1008,393.88,25892.57,217.41539,3.171509e-06,408.4326877754422,1181.2619645327773
2604.9094,463.74002,24747.404,217.28166,3.0854937e-06,408.59338921314526,1229.1254179009668
3108.8892,544.2201,23622.14,217.09705,3.0074675e-06,408.9012109268937,1283.8347075817048
3699.2717,636.54016,22516.668,216.9995,2.9355103e-06,409.28984481480813,1333.8281369729466
4390.967,746.84985,21427.285,217.01982,2.883011e-06,409.8506669904436,1390.4381250660906
5201.5938,874.39996,20350.77,216.92874,2.834729e-06,410.935526015237,1476.2847831255979
6149.564,1021.5506,19287.293,216.88237,2.8002219e-06,412.13751849417963,1558.2075828257691
7255.785,1190.8909,18236.578,216.90378,2.7930253e-06,413.82490630982625,1661.3655562531542
8543.9,1385.3407,17198.236,217.0177,2.820394e-06,415.26183752613446,1750.2525686780523
10051.435,1629.7303,16165.228,217.338,2.9511527e-06,416.0701790298786,1802.3030578014307
11825.005,1917.4026,15130.636,217.67659,3.2144396e-06,416.74101526188036,1847.2411692289938
13911.502,2255.6006,14093.623,218.35614,4.401999e-06,417.1057983917455,1872.7033363029573
16366.151,2653.7021,13052.335,219.47617,7.5443513e-06,417.3483030735365,1887.7494050656233
19239.715,3093.421,12017.223,217.59013,1.3730451e-05,417.8064593654727,1903.9811254953604
22579.059,3585.265,10997.917,217.35715,2.1679476e-05,418.5455805817319,1923.4552417649122
26458.268,4173.1475,9981.259,220.68617,4.16187e-05,419.2862405456723,1941.635980999813
30912.56,4735.448,8961.27,226.81116,8.9097906e-05,419.874718007181,1954.7621150757932
35067.168,3573.7607,8103.511,233.27647,0.00015840668,420.22227790326843,1961.6371008399308
38637.824,3567.5483,7432.8477,238.40182,0.00023532582,420.3940078526014,1964.8848238508565
42200.695,3558.1792,6810.1553,243.16687,0.00034014112,420.5088717337217,1967.1384784740524
45756.246,3552.9172,6228.4375,247.48016,0.00046748287,420.605210369573,1968.9828386505806
49306.42,3547.4792,5682.1074,251.38412,0.000626203,420.699201697003,1970.9352719673461
52852.816,3545.2778,5166.7793,254.90332,0.0008179517,420.80687212517427,1973.2005257719923
56395.34,3539.7412,4679.056,258.0968,0.0010366141,420.94353522594656,1975.8754952511742
59935.08,3539.733,4215.9907,260.9523,0.0012651116,421.1215768760491,1978.8761191422564
63472.996,3536.1682,3775.0874,263.57672,0.0014982789,421.35188844235194,1982.3438960831775
66419.305,2356.3694,3421.9019,265.6121,0.0016994111,421.5698916044447,1985.394980446107
68775.586,2356.2031,3149.7148,267.2292,0.0018570003,421.78703843796205,1988.3053670470597
71131.7,2356.038,2885.1821,268.67773,0.0019919267,422.03656792069876,1991.65297351184
73486.79,2354.1526,2628.0342,270.01227,0.0021077988,422.3621788344556,1995.5407664391787
75840.98,2354.2173,2377.9019,271.23337,0.0022034748,422.76062176472715,1999.5748821878508
77959.734,1883.3492,2158.154,272.20853,0.0022795137,423.1752308776542,2003.4073917531089
79607.445,1412.0925,1990.8422,272.92508,0.002337281,423.5351876911497,2006.6679684976557
81019.48,1411.89,1850.0511,273.48468,0.0023900426,423.8675146799294,2009.588126960618
82431.21,1411.6815,1711.4424,273.976,0.0024459045,424.19662954465997,2012.5720001386069
83842.92,1411.6821,1574.9734,274.37717,0.0025098617,424.5119782224778,2015.6177311457188
85254.65,1411.6991,1440.6036,274.6677,0.0025817067,424.7966046339923,2018.667795340077
86666.21,1411.4518,1308.3413,274.83157,0.0026652627,425.2278116426521,2022.710592455673
88077.58,1411.2146,1178.1849,274.8516,0.0027571633,425.92260599767246,2028.1898327998217
89488.71,1411.2056,1050.108,274.79813,0.0028654153,426.91556582858243,2034.9827376273113
90899.945,1411.1659,924.04974,274.76675,0.002974928,428.16683477271465,2043.0306820790095
92310.984,1410.9303,799.95844,274.71274,0.0030578326,429.93235848693837,2052.7520185958865
93721.98,1410.9425,677.8017,274.563,0.0030880934,432.8543370619657,2066.0165276568155
95146.32,1437.7869,556.29736,274.8525,0.0031314513,435.3880450399893,2077.870663545799
